,crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
39,2017-04-20,23:00,MANHATTAN,10013.0,40.71755,-73.99932,"40.71755, -73.99932",CANAL STREET                    ,BAXTER STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3655211,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
40,2017-04-14,10:05,MANHATTAN,10014,40.740944,-74.00537,"40.740944, -74.00537",WEST 14 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3652580,Box Truck,Station Wagon/Sport Utility Vehicle,,,
41,2017-05-01,21:20,BROOKLYN,11226.0,40.637221999999994,-73.9598,"40.637222, -73.9598",EAST 19 STREET                  ,NEWKIRK AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3661812,Sedan,,,,
42,2017-04-19,10:58,MANHATTAN,10011,40.736668,-73.997345,"40.736668, -73.997345",WEST 13 STREET                  ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3654053,Sedan,Sedan,,,
43,2017-05-04,19:15,STATEN ISLAND,10301.0,40.631972999999995,-74.08769000000001,"40.631973, -74.08769",,,95        SHERMAN AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3663179,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
44,2017-04-23,12:30,BROOKLYN,11233.0,40.677616,-73.92829,"40.677616, -73.92829",,,38        HUNTERFLY PLACE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3655845,Sedan,Station Wagon/Sport Utility Vehicle,,,
45,2017-05-03,10:00,MANHATTAN,10002.0,40.7224,-73.99165,"40.7224, -73.99165",CHRYSTIE STREET                 ,STANTON STREET,,1,0,0,0,1,0,0,0,Obstruction/Debris,Unspecified,,,,3662934,Bike,Sedan,,,
46,2017-04-15,21:50,MANHATTAN,10009,40.726986,-73.98575600000001,"40.726986, -73.985756",1 AVENUE                        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3652240,Station Wagon/Sport Utility Vehicle,,,,
47,2017-05-07,12:55,MANHATTAN,10038.0,40.710144,-74.00255600000001,"40.710144, -74.002556",,,66        FRANKFORT STREET              ,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4024284,Sedan,,,,
48,2017-04-27,17:30,BRONX,10461.0,40.843212,-73.83894000000001,"40.843212, -73.83894",WATERS PLACE                    ,FINK AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3658720,Sedan,Sedan,,,
49,2017-04-14,17:20,BROOKLYN,11214.0,40.603283000000005,-74.00321,"40.603283, -74.00321",,,8733      19 AVENUE                     ,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3651640,Station Wagon/Sport Utility Vehicle,Bike,,,
